OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
VCS/2020 Season/Spring Promotion,2019-12-11,2019-12-15,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2020 Season/Spring Season,2020-01-31,2020-04-05,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2020 Season/Summer Playoffs,2020-08-19,2020-09-05,Vietnam,Vietnam,Online,Vietnam Championship Series,1,1
VCS/2020 Season/Summer Promotion,2020-05-01,2020-05-03,Vietnam,Vietnam,,Vietnam Championship Series,1,1
VCS/2020 Season/Summer Season,2020-06-19,2020-08-16,Vietnam,Vietnam,Offline/Online,Vietnam Championship Series,1,1
VCS/2021 Season/Spring Playoffs,2021-04-10,2021-04-18,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2021 Season/Spring Promotion,2020-11-27,2020-11-30,Vietnam,Vietnam,,Vietnam Championship Series,1,1
VCS/2021 Season/Spring Season,2021-01-22,2021-04-04,Vietnam,Vietnam,Offline/Online,Vietnam Championship Series,1,1
VCS/2021 Season/Spring Season/Showmatch,2021-04-01,2021-04-01,Vietnam,Vietnam,,,1,1
VCS/2021 Season/Summer Playoffs,,,Vietnam,Vietnam,,,,
VCS/2021 Season/Summer Promotion,2021-05-18,2021-05-20,Vietnam,Vietnam,,Vietnam Championship Series,1,1
VCS/2021 Season/Summer Season,,,Vietnam,Vietnam,,,,
VCS/2021 Season/Winter Playoffs,2021-12-22,2021-12-26,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2021 Season/Winter Season,2021-11-16,2021-12-17,Vietnam,Vietnam,Offline/Online,Vietnam Championship Series,1,1
VCS/2022 Season/Spring Playoffs,2022-04-16,2022-04-24,Vietnam,Vietnam,Online,Vietnam Championship Series,1,1
VCS/2022 Season/Spring Season,2022-02-11,2022-04-13,Vietnam,Vietnam,Offline/Online,Vietnam Championship Series,1,1
VCS/2022 Season/Summer Playoffs,2022-08-24,2022-09-04,Vietnam,Vietnam,Online,Vietnam Championship Series,1,1
VCS/2022 Season/Summer Promotion,2022-05-06,2022-05-08,Vietnam,Vietnam,,Vietnam Championship Series,1,1
VCS/2022 Season/Summer Season,2022-07-07,2022-08-21,Vietnam,Vietnam,Offline/Online,Vietnam Championship Series,1,1
VCS/2023 Season/Spring Playoffs,2023-04-14,2023-04-23,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2023 Season/Spring Season,2023-02-24,2023-04-10,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
